id,TYPE,NO,NAME,EN_NAME,UnitPrice,Density
0e473247-50b0-4293-bde4-312cffbb12b6,DIM,1,GB/T1804-f,GB/T1804-f,0,0
12334444-a0ff-4c69-bea7-4ead70212345,GEO,6,GB/T1184-1996,GB/T1184-1996,0,0
12e65e61-740e-41d0-8292-f1fc16693b58,GEO,3,GB/T1184-L,GB/T1184-L,0,0
21dffac6-5948-43d0-a3ae-f7f69ffeeb01,MAT,161,SKD-11,,34.3,7850
25749bd3-98d8-4b0f-98ad-a62578f0e9af,DIM,3,GB/T1804-c,GB/T1804-c,0,0
31234567-a0ff-4c69-bea7-4ead702f25d7,GEO,5,GB/T1184-M,GB/T1184-M,0,0
3f542076-a0ff-4c69-bea7-4ead702f25d7,GEO,4,GB/T1184-IT12,GB/T1184-IT12,0,0
4df91fff-982f-4a1f-85f5-ba3084579041,MAT,160,DY25,,800,12000
4e990eff-6995-11ee-ab2d-ac82472e843d,MAT,0,无,无,0,0
4e995423-6995-11ee-ab2d-ac82472e843d,MAT,1,深灰色PVC AB板,深灰色PVC AB板,8,1750
4e998812-6995-11ee-ab2d-ac82472e843d,MAT,2,45钢,45钢,8,7850
4e99be4f-6995-11ee-ab2d-ac82472e843d,MAT,3,Q235（A3钢）,Q235（A3钢）,8,7850
4e99f6b8-6995-11ee-ab2d-ac82472e843d,MAT,4,S45C棒材,S45C棒材,8.8,7850
4e9a28c9-6995-11ee-ab2d-ac82472e843d,MAT,5,方通Q235A,方通Q235A,9,7930
4e9a5ac8-6995-11ee-ab2d-ac82472e843d,MAT,6,冷板,冷板,10,7850
4e9a8dab-6995-11ee-ab2d-ac82472e843d,MAT,7,40Cr棒材,40Cr棒材,10,7850
4e9ac332-6995-11ee-ab2d-ac82472e843d,MAT,8,S45C锻打,S45C锻打,10,7930
4e9b2247-6995-11ee-ab2d-ac82472e843d,MAT,9,S45C磨光棒,S45C磨光棒,10,7930
4e9b5eff-6995-11ee-ab2d-ac82472e843d,MAT,10,内六角圆柱头螺钉M16*75,内六角圆柱头螺钉M16*75,10,7930
4e9ba8ed-6995-11ee-ab2d-ac82472e843d,MAT,11,内六角圆柱头螺钉M14*20,内六角圆柱头螺钉M14*20,10,7930
4e9bdc86-6995-11ee-ab2d-ac82472e843d,MAT,12,SECC,SECC,10,7930
4e9c0e60-6995-11ee-ab2d-ac82472e843d,MAT,13,槽钢,槽钢,10,7930
4e9c3fa4-6995-11ee-ab2d-ac82472e843d,MAT,14,M16×80方头长圆柱端紧定螺钉,M16×80方头长圆柱端紧定螺钉,10,7950
4e9c7186-6995-11ee-ab2d-ac82472e843d,MAT,15,S45C光料,S45C光料,10.5,7850
4e9cb026-6995-11ee-ab2d-ac82472e843d,MAT,16,S45C精料,S45C精料,12,7850
4e9ce279-6995-11ee-ab2d-ac82472e843d,MAT,17,镀锌板-DX51D,镀锌板-DX51D,12,7930
4e9d1661-6995-11ee-ab2d-ac82472e843d,MAT,18,镀锌板,镀锌板,12,7930
4e9d5449-6995-11ee-ab2d-ac82472e843d,MAT,19,S45C研磨棒（软)-45,S45C研磨棒（软)-45,12,7930
4e9d88c5-6995-11ee-ab2d-ac82472e843d,MAT,20,S45C研磨棒（软),S45C研磨棒（软),12,7930
4e9dbe82-6995-11ee-ab2d-ac82472e843d,MAT,21,40Cr光料,40Cr光料,12.5,7850
4e9dfa89-6995-11ee-ab2d-ac82472e843d,MAT,22,40Cr精料,40Cr精料,13.5,7850
4e9e3165-6995-11ee-ab2d-ac82472e843d,MAT,23,Cr12棒料,Cr12棒料,15,7850
4e9e63e4-6995-11ee-ab2d-ac82472e843d,MAT,24,黄色国产环氧板,黄色国产环氧板,16,2300
4e9e96d9-6995-11ee-ab2d-ac82472e843d,MAT,25,65Mn棒材,65Mn棒材,17,7850
4e9ec896-6995-11ee-ab2d-ac82472e843d,MAT,26,Cr12光料,Cr12光料,18,7850
4e9ef9c1-6995-11ee-ab2d-ac82472e843d,MAT,27,20CrMnTi板料,20CrMnTi板料,18,7930
4e9f30c1-6995-11ee-ab2d-ac82472e843d,MAT,28,白色PP板,白色PP板,20,930
4e9f66de-6995-11ee-ab2d-ac82472e843d,MAT,29,Cr12精料,Cr12精料,20,7850
